"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"899379615910641665","","","2017-08-20 21:16:24 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","https://t.co/b8Otrp92xq","","","","https://ghosttunnel.blogspot.co.uk/2015/02/forced-into-dream.html"
"898689969878966272","","","2017-08-18 23:36:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Gyroscopic force in right ear. Reacts to active use of imagination. Eats brains.","","","",""
"898194656177029120","","","2017-08-17 14:47:48 +0000","<a href=""http://soundcloud.com"" rel=""nofollow"">SoundCloud</a>","My new sounds: Spin https://t.co/6u7ThSt6NO on #SoundCloud","","","","https://soundcloud.com/chemeleon/spin"
"897805139557396480","","","2017-08-16 13:00:00 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","When time is no longer a factor, everything is connected. A seemingly complete set. A false identity at which the constant moment points.","","","",""
"897799590593921024","","","2017-08-16 12:37:57 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Vector in metaphor. Teeth in frontal lobe. Sending out gametes to tear through your finely honed mentality and replace it with mediocrity.","","","",""
"897367245533450240","","","2017-08-15 07:59:58 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","What your happiness accounts for. There's a whole universe in your head, but only one smile.","","","",""
"897127977577742337","","","2017-08-14 16:09:12 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","If I don't believe I'm something that needs to be escaped from, it's not because I don't know myself, it's because I know nothing else.","","","",""
"897073124906340353","","","2017-08-14 12:31:14 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TFW you've been hyperdimensionally incarcerated by an ape and tortured and then get gangraped by your city who confuse you with a silhouette","","","",""
"897072441528373248","","","2017-08-14 12:28:31 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TFW you're travelling at hyperspeed and a small hologram child steps in front of your vehicle and you scream off into the edge of nothing","","","",""
"892336091403104258","","","2017-08-01 10:47:57 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","If you've never seen outside of them, you might not feel the need to protect yourself from the habits of others. How you're validated. Sound","","","",""
"892022898038378496","","","2017-07-31 14:03:26 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","I don't see you. I see the potential for you. That's a function I define. Let's hope our interaction generates it instead of collapsing it.","","","",""
"890546380787388417","","","2017-07-27 12:16:17 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","We're all mathematicians","","","",""
"890262544149082113","","","2017-07-26 17:28:25 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Knowing when to say the word sorry. Or peace.

And how.","","","",""
"890152127355650048","","","2017-07-26 10:09:40 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Predator prey dynamics. Lose your true voice and gain some recursive amplitude. And make people suffer for it.","","","",""
"890112841465909250","","","2017-07-26 07:33:33 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ambient noise. Programmed to destroy.","","","",""
"889473499647102976","","","2017-07-24 13:13:02 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ps. That's because compassion was an integral part of your process of self identification. Compassion and time.","","","",""
"889462344451010560","","","2017-07-24 12:28:42 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","I trained my dreams to eat while I slept. I called my food arrogant. It's how I cooked it. I generate my own light but there's more in you.","","","",""
"888717656840339456","","","2017-07-22 11:09:35 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","When strangers treat you like they know you. And own you. Like a pet. That they neglect. And neuter. And anthropomorphise. Get the fuck off.","","","",""
"888717228882964481","","","2017-07-22 11:07:53 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","When strangers treat you like they know you. And own you. Like a pet they have neglected. And neutered. 

Like they know better.","","","",""
"887580849587322880","","","2017-07-19 07:52:19 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","I closed my mouth and listened, right up until the point my dreams realised they could talk over me","","","",""
"883994887246548993","","","2017-07-09 10:22:59 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","You're not suffering enough and I'm not profiting from it enough.","","","",""
"882892359662321664","","","2017-07-06 09:21:56 +0000","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Some arts and photototos. https://t.co/VsiwwkmKzw","","","","https://www.instagram.com/p/BWMy0FHg1ei/"
"881799273515503616","","","2017-07-03 08:58:24 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Testicles being interfered with by some external process. The joy.","","","",""
"875975681712238593","","","2017-06-17 07:17:32 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","""There's a zombie!""

""Where?""

'Now.""","","","",""
"874893077944598528","","","2017-06-14 07:35:39 +0000","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Some more photos and images from the past couple days. https://t.co/whp9FlHET4","","","","https://www.instagram.com/p/BVT9J5PA__L/"
"874364146124541954","","","2017-06-12 20:33:51 +0000","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Thank you for the astute assessment of the situation. The possibility of that which you asserted is now entangled with your inherent bias.","","","",""
"874269120807583744","","","2017-06-12 14:16:16 +0000","<a href=""http://soundcloud.com"" rel=""nofollow"">SoundCloud</a>","My new sounds: The Surface (Alternative Edit) https://t.co/YNZ6audQGa on #SoundCloud","","","","https://soundcloud.com/chemeleon/tsae"
"871152867524194305","","","2017-06-03 23:53:23 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Let's hope love isn't tangled up with money.","","","",""
"869411832213241857","","","2017-05-30 04:35:08 +0000","<a href=""http://soundcloud.com"" rel=""nofollow"">SoundCloud</a>","My new sounds: Selectively Repressed (Preview A.) https://t.co/qDIxE4o5CF on #SoundCloud","","","","https://soundcloud.com/chemeleon/selrep"
"867946942743158784","","","2017-05-26 03:34:11 +0000","<a href=""http://soundcloud.com"" rel=""nofollow"">SoundCloud</a>","My new sounds: The Surface (No Vocals) (Yet) https://t.co/USxHoo3X5N on #SoundCloud","","","","https://soundcloud.com/chemeleon/the-surface"
"863967857398472704","","","2017-05-15 04:02:43 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Love is not a machine that lies to you and heavily influences how you imagine it. Love does not abuse from behind a wall or drown out tears","","","",""
"863043467232120834","","","2017-05-12 14:49:31 +0000","<a href=""http://soundcloud.com"" rel=""nofollow"">SoundCloud</a>","My new sounds: Complex Heartbeat https://t.co/9PbDPCGeKj on #SoundCloud","","","","https://soundcloud.com/chemeleon/complex-heartbeat"
"862618410110271488","","","2017-05-11 10:40:30 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","A strong dream in the imaginary plane has to mimic the real plane to a high degree. That means a system accounting for the potential of all","","","",""
"862616952765911045","","","2017-05-11 10:34:42 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","They just closed their eyes and ate. I heard them digesting me.","","","",""
"862615748484747264","","","2017-05-11 10:29:55 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","The system attempting to rape my head and heart only understands the state of a system in character. It has to characterize everything.","","","",""
"862614946433183744","","","2017-05-11 10:26:44 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","The moment, fooled by tricks of the light. Hearts enveloped in intelligence networks which filter truth, make choices with basis in emotion","","","",""
"861993569070010368","","","2017-05-09 17:17:36 +0000","<a href=""http://soundcloud.com"" rel=""nofollow"">SoundCloud</a>","My new sounds: In Loves Face https://t.co/YvexNc5YHH on #SoundCloud","","","","https://soundcloud.com/chemeleon/in-loves-face"
"860090783046803456","","","2017-05-04 11:16:37 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Entering a system that's travelling at a velocity vastly greater than yours will cause it to burn at the edge of nothing while you absorb it","","","",""
"860088317316091904","","","2017-05-04 11:06:49 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Intelligent systems in this environment don't develop with the intent to communicate themselves from the perspective of a hungry animal","","","",""
"860087661519937537","","","2017-05-04 11:04:12 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Predator / prey dynamics. Fixed cycle in time held in place by habit. Self defined by externality. Freedom from what doesn't account for you","","","",""
"860085850935357440","","","2017-05-04 10:57:01 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","You will blindly fire assertions of state at my core, destabilize my system, drain my love, I will rebuild based on the memory of the habit","","","",""
"860083486589411328","","","2017-05-04 10:47:37 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Where does possibility end and you begin? A wall of definition, never to be seen outside of, solidified by habit and communication","","","",""
"860082555810394112","","","2017-05-04 10:43:55 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","If love is only worth a dollar or two you've defined it incorrectly. Asserted a unit of time which doesn't account for its generative nature","","","",""
"860080507111047168","","","2017-05-04 10:35:47 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","External control of emotions often neglects their source, a feedback loop in a network that is devloped by and entangled with the hosts core","","","",""
"859076056527011840","","","2017-05-01 16:04:27 +0000","<a href=""http://soundcloud.com"" rel=""nofollow"">SoundCloud</a>","My new sounds: Ownership https://t.co/4RkUDAl7QT on #SoundCloud","","","","https://soundcloud.com/chemeleon/ownership"
"857934261529260032","","","2017-04-28 12:27:22 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Basically, I can't wait until you're mature enough to give me the answer in a language I can understand, I just want to fuck it out of you","","","",""
"857933599177187328","","","2017-04-28 12:24:44 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","What can networks do that individuals can't? Besides getting away with murder?","","","",""
"857888145991507968","","","2017-04-28 09:24:07 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","A source of free energy powers an alien civilisation. Do you a) learn from them or b) bomb the power station and make them build one for you","","","",""
"857885885467176961","","","2017-04-28 09:15:08 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Emotions. How they're filtered through networks of conception and distributed within their constituent entities. Neutral context. Blind rule","","","",""
"857882473723813888","","","2017-04-28 09:01:35 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","You, on the other hand, are not forcefully manipulated. The network you're invested in is, instead. That doesn't hurt (you) so much.","","","",""
"857881672783732736","","","2017-04-28 08:58:24 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","""You are arrogant"". That was its inception. Payload meant nothing. Completely contextually irrelevant. It was a force nullifying a field.","","","",""
"857879576575434752","","","2017-04-28 08:50:04 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Your voice as a weapon against love","","","",""
"857878951326359552","","","2017-04-28 08:47:35 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tell me about yourself: You are unable / unwilling to justify compassion. You follow instructions. You're invested in an emotional heirachy","","","",""
"857875694545764352","","","2017-04-28 08:34:38 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","The only thing I listen to or care about is my ejaculating penis","","","",""
"857875414634680320","","","2017-04-28 08:33:32 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","You murdered a beautiful day for this","","","",""
"857873139082158080","","","2017-04-28 08:24:29 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","How wrong am I? Please, put an apple in my mouth and rape the correct answer into me. Don't worry if I'm dead, means I'm easier to convince","","","",""
"857870678380470272","","","2017-04-28 08:14:42 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","If you want to know why babies scream and gorillas beat their chests, it probably has something to do with the field the heart channels","","","",""
"857601702777806850","","","2017-04-27 14:25:54 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dreaming parallel prisms project a web of force across the sky. A mature field is capable of hosting shadows, who confuse it with themselves","","","",""
"857598058992939008","","","2017-04-27 14:11:25 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Forced resolve. Where there was once ambiguity.","","","",""
"857297712018055168","","","2017-04-26 18:17:57 +0000","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Control your-fucking-self","","","",""
"857294015032700928","","","2017-04-26 18:03:15 +0000","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Sometimes it feels like I'm being sexually abused. Like my face is being chewed off from inside out. These actions are justified by the perp","","","",""
"857278235561873409","","","2017-04-26 17:00:33 +0000","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","A virus is ""fair"". Fair within its given context, which is defined by what it won't account for and will assert at the cell it imagines.","","","",""
"857276955644764160","","","2017-04-26 16:55:28 +0000","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","I was right to have faith in love. I was right to expect people to shit all over it, so I kept in my head, and they shat all over it there.","","","",""
"857274980605755396","","","2017-04-26 16:47:37 +0000","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","What's emotion anyway? Besides time, I'd suggest you think it's not useful because the way you've been quantified it leads you nowhere.","","","",""
"857274303213170689","","","2017-04-26 16:44:55 +0000","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Emotional empathy is definitely not an emergent phenomenon of this poorly designed system.","","","",""
"857230036172230661","","","2017-04-26 13:49:01 +0000","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","I was cruel and there weren't any negative consequences because they didn't exist in me, therefore I will choose cruelty at my convenience.","","","",""
"857227706991349760","","","2017-04-26 13:39:46 +0000","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","What's better, a system with infinite potential which is limited in velocity by the ruleset determining that potential, or winning the race?","","","",""
"857223530517319681","","","2017-04-26 13:23:10 +0000","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","A complex quantum waveform collapsed on my head. The substance of potential which it generated quantified by arbitrary process and extracted","","","",""
"857222602313654272","","","2017-04-26 13:19:29 +0000","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Shadow puppets in a universal amphitheater drowning out the garden, only surface matters and thought is optional, transient and monitored","","","",""
"857218254657474561","","","2017-04-26 13:02:12 +0000","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Order and chaos are synonymous, given the applicable transform.","","","",""
"857217820798660608","","","2017-04-26 13:00:29 +0000","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Two masks facing a rotating sphere. Opposite sides, one attracts, one repels energy inside the sphere. The end of a complex system.","","","",""
"857214360825024513","","","2017-04-26 12:46:44 +0000","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Millions of possibilities. The potential for them. Inhabited and transformed into a string of momentary errors stemming from misconceptions","","","",""
"857211943383429120","","","2017-04-26 12:37:08 +0000","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Molested in public, but it's ok because it was under my trousers lol","","","",""
